Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"20.30000","1.69187","7178.29004"
"20.35000","1.69600","7202.71045"
"20.40000","1.70012","7227.94629"
"20.45000","1.70434","7252.58984"
"20.50000","1.70855","7277.48291"
"20.55000","1.71258","7302.13770"
"20.60000","1.71689","7325.62744"
"20.65000","1.72101","7350.34277"
"20.70000","1.72514","7376.26025"
"20.75000","1.72935","7401.31445"
"20.80000","1.73357","7426.21191"
"20.85000","1.73769","7450.52490"
"20.90000","1.74182","7475.37402"
"20.95000","1.74603","7500.48145"
"21.00000","1.75016","7525.00537"
"21.05000","1.75428","7550.17773"
"21.10000","1.75850","7574.85645"
"21.15000","1.76262","7598.84277"
"21.20000","1.76674","7624.43262"
"21.25000","1.77096","7649.66846"
"21.30000","1.77518","7673.89111"
"21.35000","1.77930","7699.64600"
"21.40000","1.78342","7724.42969"
"21.45000","1.78764","7749.66553"
"21.50000","1.79186","7775.95020"
"21.55000","1.79598","7801.43164"
"21.60000","1.80010","7825.63965"
"21.65000","1.80432","7850.20361"
"21.70000","1.80844","7875.23926"
"21.75000","1.81266","7900.81934"
"21.80000","1.81678","7926.51318"
"21.85000","1.82100","7951.95850"
"21.90000","1.82512","7977.06299"
"21.95000","1.82934","8003.05029"
"22.00000","1.83346","8029.54053"
"22.05000","1.83759","8054.96631"
"22.10000","1.84171","8079.87695"
"22.15000","1.84593","8104.95898"
"22.20000","1.85014","8130.83740"
"22.25000","1.85427","8156.93604"
"22.30000","1.85848","8182.79834"
"22.35000","1.86270","8208.54492"
"22.40000","1.86682","8234.97363"
"22.45000","1.87095","8260.71484"
"22.50000","1.87516","8285.25977"
"22.55000","1.87929","8311.47168"
"22.60000","1.88350","8335.85645"
"22.65000","1.88772","8356.49219"
"22.70000","1.89184","8382.89062"
"22.75000","1.89597","8410.31934"
"22.80000","1.90018","8436.19922"
"22.85000","1.90431","8461.02637"
"22.90000","1.90843","8487.81348"
"22.95000","1.91265","8513.48535"
"23.00000","1.91686","8538.73242"
"23.05000","1.92098","8564.94434"
"23.10000","1.92511","8590.35059"
"23.15000","1.92932","8615.59961"
"23.20000","1.93345","8642.01074"
"23.25000","1.93757","8667.37109"
"23.30000","1.94179","8692.70801"
"23.35000","1.94600","8719.96484"
"23.40000","1.95013","8746.68066"
"23.45000","1.95425","8772.77441"
"23.50000","1.95847","8799.37305"
"23.55000","1.96259","8825.52930"
"23.60000","1.96681","8851.62695"
"23.65000","1.97102","8877.96680"
"23.70000","1.97515","8905.35156"
"23.75000","1.97927","8931.36035"
"23.80000","1.98349","8956.62891"
"23.85000","1.98761","8983.85645"
"23.90000","1.99173","9012.93066"
"23.95000","1.99595","9038.83008"
"24.00000","2.00007","9065.28125"
"24.05000","2.00429","9092.82031"
"24.10000","2.00841","9119.48340"
"24.15000","2.01263","9146.12988"
"24.20000","2.01685","9173.71484"
"24.25000","2.02097","9200.91309"
"24.30000","2.02519","9226.85547"
"24.35000","2.02931","9252.87793"
"24.40000","2.03343","9280.46582"
"24.45000","2.03765","9308.14355"
"24.50000","2.04187","9334.13184"
"24.55000","2.04599","9361.00586"
"24.60000","2.05011","9388.06348"
"24.65000","2.05433","9414.87207"
"24.70000","2.05845","9442.03516"
"24.75000","2.06258","9469.75684"
"24.80000","2.06679","9495.42773"
"24.85000","2.07101","9522.11035"
"24.90000","2.07513","9549.39160"
"24.95000","2.07935","9577.36523"
"25.00000","2.08357","9602.99023"
"25.05000","2.08769","9630.71680"
"25.10000","2.09181","9657.21484"
"25.15000","2.09603","9683.50293"
"25.20000","2.10015","9710.68262"
"25.25000","2.10427","9737.58203"
"25.30000","2.10849","9765.11426"
"25.35000","2.11261","9791.40918"
"25.40000","2.11674","9817.38184"
"25.45000","2.12095","9844.64844"
"25.50000","2.12508","9872.79590"
"25.55000","2.12929","9900.56348"
"25.60000","2.13342","9928.48438"
"25.65000","2.13763","9955.15918"
"25.70000","2.14176","9982.57422"
"25.75000","2.14597","10010.70996"
"25.80000","2.15010","10038.49707"
"25.85000","2.15431","10065.72949"
"25.90000","2.15844","10093.16602"
"25.95000","2.16256","10120.27734"
"26.00000","2.16678","10147.39453"
"26.05000","2.17090","10176.84375"
"26.10000","2.17512","10204.42773"
"26.15000","2.17933","10231.35059"
"26.20000","2.18346","10258.52148"
"26.25000","2.18758","10287.10352"
"26.30000","2.19180","10315.38379"
"26.35000","2.19601","10343.07324"
"26.40000","2.20014","10370.82129"
"26.45000","2.20435","10397.43164"
"26.50000","2.20857","10424.35742"
"26.55000","2.21269","10452.87695"
"26.60000","2.21682","10481.25488"
"26.65000","2.22103","10508.71875"
"26.70000","2.22525","10536.11523"
"26.75000","2.22937","10564.57520"
"26.80000","2.23350","10592.03027"
"26.85000","2.23771","10618.85742"
"26.90000","2.24184","10646.59766"
"26.95000","2.24596","10674.26172"
"27.00000","2.25018","10700.88184"
"27.05000","2.25430","10728.20801"
"27.10000","2.25842","10756.08203"
"27.15000","2.26264","10783.25781"
"27.20000","2.26686","10810.28711"
"27.25000","2.27098","10838.08789"
"27.30000","2.27510","10865.86816"
"27.35000","2.27932","10892.43750"
"27.40000","2.28344","10920.64648"
"27.45000","2.28756","10948.56152"
"27.50000","2.29178","10974.85449"
"27.55000","2.29600","11002.57520"
"27.60000","2.30012","11030.55469"
"27.65000","2.30434","11058.67578"
"27.70000","2.30846","11086.37109"
"27.75000","2.31258","11114.52637"
"27.80000","2.31680","11142.40039"
"27.85000","2.32092","11169.42480"
"27.90000","2.32514","11197.78613"
"27.95000","2.32926","11227.36914"
"28.00000","2.33339","11255.04199"
"28.05000","2.33760","11282.08301"
"28.10000","2.34173","11310.11816"
"28.15000","2.34594","11339.57031"
"28.20000","2.35016","11367.82031"
"28.25000","2.35428","11395.72852"
"28.30000","2.35850","11424.84277"
"28.35000","2.36272","11452.80859"
"28.40000","2.36684","11481.57031"
"28.45000","2.37096","11510.09277"
"28.50000","2.37518","11538.44043"
"28.55000","2.37940","11564.75586"
"28.60000","2.38352","11593.97754"
"28.65000","2.38774","11623.09375"
"28.70000","2.39186","11650.65137"
"28.75000","2.39598","11679.64160"
"28.80000","2.40011","11707.83008"
"28.85000","2.40442","11735.62207"
"28.90000","2.40854","11764.29785"
"28.95000","2.41266","11793.20020"
"29.00000","2.41679","11820.69238"
"29.05000","2.42091","11848.32422"
"29.10000","2.42513","11876.08301"
"29.15000","2.42925","11904.82031"
"29.20000","2.43347","11933.46387"
"29.25000","2.43768","11961.22461"
"29.30000","2.44181","11990.16992"
"29.35000","2.44602","12018.34277"
"29.40000","2.45015","12046.23340"
"29.45000","2.45427","12076.01465"
"29.50000","2.45849","12104.62598"
"29.55000","2.46270","12132.54199"
"29.60000","2.46683","12159.76660"
"29.65000","2.47104","12189.29688"
"29.70000","2.47517","12218.22656"
"29.75000","2.47929","12246.53320"
"29.80000","2.48341","12275.79297"
"29.85000","2.48763","12304.48828"
"29.90000","2.49185","12333.22949"
"29.95000","2.49597","12362.70605"
"30.00000","2.50009","12391.50977"
"30.05000","2.50431","12420.29785"
"30.10000","2.50843","12449.18750"
"30.15000","2.51265","12478.56738"
"30.20000","2.51687","12506.55762"
"30.25000","2.52099","12535.49902"
"30.30000","2.52511","12565.62793"
"30.35000","2.52933","12594.85156"
"30.40000","2.53354","12623.49316"
"30.45000","2.53767","12652.54297"
"30.50000","2.54188","12681.67773"
"30.55000","2.54601","12710.23926"
"30.60000","2.55022","12737.82812"
"30.65000","2.55435","12766.59961"
"30.70000","2.55856","12794.46191"
"30.75000","2.56269","12822.90527"
"30.80000","2.56681","12851.71094"
"30.85000","2.57093","12879.47852"
"30.90000","2.57515","12908.75195"
"30.95000","2.57927","12937.11035"
"31.00000","2.58340","12965.94141"
"31.05000","2.58761","12994.49902"
"31.10000","2.59174","13022.12793"
"31.15000","2.59586","13050.14355"
"31.20000","2.60008","13078.65527"
"31.25000","2.60429","13105.61035"
"31.30000","2.60842","13134.90820"
"31.35000","2.61263","13163.29395"
"31.40000","2.61685","13191.35840"
"31.45000","2.62097","13220.69434"
"31.50000","2.62519","13250.29980"
"31.55000","2.62931","13278.43652"
"31.60000","2.63353","13306.04297"
"31.65000","2.63765","13334.88086"
"31.70000","2.64187","13362.68066"
"31.75000","2.64609","13391.52930"
"31.80000","2.65012","13420.22559"
"31.85000","2.65433","13448.49512"
"31.90000","2.65846","13476.72070"
"31.95000","2.66267","13507.91016"
"32.00000","2.66680","13536.89746"
"32.05000","2.67092","13565.72461"
"32.10000","2.67514","13593.96680"
"32.15000","2.67926","13623.10059"
"32.20000","2.68348","13651.35645"
"32.25000","2.68769","13679.52246"
"32.30000","2.69182","13708.55078"
"32.35000","2.69594","13737.84961"
"32.40000","2.70016","13766.06934"
"32.45000","2.70428","13794.40137"
"32.50000","2.70849","13823.66992"
"32.55000","2.71271","13852.70703"
"32.60000","2.71683","13880.41699"
"32.65000","2.72096","13909.64258"
"32.70000","2.72517","13938.18457"
"32.75000","2.72939","13965.95801"
"32.80000","2.73351","13993.27246"
"32.85000","2.73764","14021.56543"
"32.90000","2.74185","14051.08691"
"32.95000","2.74598","14078.70020"
"33.00000","2.75010","14107.31348"
"33.05000","2.75432","14135.76270"
"33.10000","2.75844","14162.96680"
"33.15000","2.76256","14191.91992"
"33.20000","2.76678","14219.88477"
"33.25000","2.77100","14247.69922"
"33.30000","2.77512","14275.12500"
"33.35000","2.77934","14302.77832"
"33.40000","2.78346","14331.04590"
"33.45000","2.78768","14359.95215"
"33.50000","2.79180","14388.00879"
"33.55000","2.79592","14414.82129"
"33.60000","2.80014","14442.02637"
"33.65000","2.80436","14470.41309"
"33.70000","2.80848","14498.21289"
"33.75000","2.81270","14525.65918"
"33.80000","2.81682","14551.96484"
"33.85000","2.82094","14579.58105"
"33.90000","2.82516","14607.93750"
"33.95000","2.82928","14635.66016"
"34.00000","2.83341","14663.08691"
"34.05000","2.83762","14690.83398"
"34.10000","2.84184","14718.20020"
"34.15000","2.84596","14746.14453"
"34.20000","2.85009","14773.61426"
"34.25000","2.85430","14799.90527"
"34.30000","2.85852","14826.29590"
"34.35000","2.86264","14853.02441"
"34.40000","2.86677","14880.48145"
"34.45000","2.87098","14906.95898"
"34.50000","2.87511","14934.08496"
