Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
32.25,2.6876,25206.50391
32.3,2.69172,25195.37305
32.35,2.69584,25190.71484
32.4,2.70006,25190.45508
32.45,2.70418,25190.97656
32.5,2.7084,25191.03906
32.55,2.71252,25193.36914
32.6,2.71674,25196.71289
32.65,2.72096,25201.23047
32.7,2.72508,25207.70508
32.75,2.7293,25214.18359
32.8,2.73342,25221.17188
32.85,2.73754,25228.2207
32.9,2.74176,25235.75195
32.95,2.74588,25242.0625
33,2.75001,25248.19141
33.05,2.75422,25252.25586
33.1,2.75844,25253.15625
33.15,2.76266,25252.73633
33.2,2.76678,25258.94922
33.25,2.771,25268.19141
33.3,2.77512,25278.87891
33.35,2.77924,25288.79883
33.4,2.78346,25295.54102
33.45,2.78758,25303.95898
33.5,2.79171,25315.89062
33.55,2.79592,25330.50977
33.6,2.80005,25342.12109
33.65,2.80426,25352.96094
33.7,2.80839,25361.70117
33.75,2.8126,25370.12109
33.8,2.81673,25376.76758
33.85,2.82085,25387.00391
33.9,2.82507,25399.75977
33.95,2.82928,25414.72266
34,2.83341,25431.31055
34.05,2.83762,25447.5918
34.1,2.84184,25460.57422
34.15,2.84596,25471.15625
34.2,2.85009,25481.96094
34.25,2.8543,25490.39648
34.3,2.85843,25498.50391
34.35,2.86255,25509.5
34.4,2.86677,25518.63867
34.45,2.87089,25527.08984
34.5,2.87501,25534.33203
34.55,2.87923,25543.75586
34.6,2.88335,25552.96094
34.65,2.88757,25561.00195
34.7,2.89169,25569.82617
34.75,2.89591,25578.35352
34.8,2.90003,25585.40039
34.85,2.90425,25590.35352
34.9,2.90837,25594.14453
34.95,2.91259,25597.53711
35,2.9168,25602.88281
35.05,2.92093,25608.32812
35.1,2.92514,25615.13477
35.15,2.92927,25624.87695
35.2,2.93339,25635.03711
35.25,2.93761,25645.37305
35.3,2.94182,25655.24609
35.35,2.94595,25666.43945
35.4,2.95016,25678.96484
35.45,2.95429,25690.00977
35.5,2.95841,25701.71875
35.55,2.96253,25713.21484
35.6,2.96675,25723.97852
35.65,2.97087,25734.63672
35.7,2.975,25745.42188
35.75,2.97921,25756.99609
35.8,2.98343,25766.91797
35.85,2.98755,25777.36328
35.9,2.99168,25786.78125
35.95,2.99599,25796.69727
36,3.00011,25806.42383
36.05,3.00423,25815.73047
36.1,3.00845,25825.49805
36.15,3.01257,25834.52539
36.2,3.01679,25844.26953
36.25,3.02091,25854.48633
36.3,3.02513,25863.29297
36.35,3.02935,25871.33398
36.4,3.03338,25880.38672
36.45,3.03759,25889.6582
36.5,3.04172,25897.94727
36.55,3.04584,25905.66797
36.6,3.05006,25913.88281
36.65,3.05427,25921.76758
36.7,3.0584,25931.35547
36.75,3.06261,25940.66602
36.8,3.06683,25948.83984
36.85,3.07105,25956.89844
36.9,3.07517,25964.41797
36.95,3.07939,25972.11328
37,3.08351,25978.92969
37.05,3.08763,25986.33203
37.1,3.09185,25994.5332
37.15,3.09607,26004.42383
