Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"24.50000","2.04168","19009.61719"
"24.55000","2.04580","19046.59375"
"24.60000","2.05002","19083.61328"
"24.65000","2.05414","19120.74023"
"24.70000","2.05836","19157.73047"
"24.75000","2.06258","19194.57617"
"24.80000","2.06670","19230.60156"
"24.85000","2.07082","19266.44922"
"24.90000","2.07504","19301.80859"
"24.95000","2.07916","19337.83203"
"25.00000","2.08328","19374.62109"
"25.05000","2.08750","19409.72656"
"25.10000","2.09172","19444.52930"
"25.15000","2.09584","19480.29492"
"25.20000","2.10006","19515.84180"
"25.25000","2.10427","19550.43164"
"25.30000","2.10840","19585.68750"
"25.35000","2.11252","19618.87500"
"25.40000","2.11674","19651.92969"
"25.45000","2.12086","19686.61719"
"25.50000","2.12498","19720.82812"
"25.55000","2.12920","19754.66406"
"25.60000","2.13332","19788.04688"
"25.65000","2.13745","19821.55664"
"25.70000","2.14166","19855.68164"
"25.75000","2.14588","19888.08594"
"25.80000","2.15000","19921.04688"
"25.85000","2.15413","19954.14258"
"25.90000","2.15834","19985.99219"
"25.95000","2.16247","20016.79102"
"26.00000","2.16668","20049.99414"
"26.05000","2.17081","20080.49414"
"26.10000","2.17502","20111.42578"
"26.15000","2.17915","20141.62109"
"26.20000","2.18336","20171.89453"
"26.25000","2.18758","20203.14062"
"26.30000","2.19170","20232.89258"
"26.35000","2.19583","20263.41016"
"26.40000","2.20004","20291.90430"
"26.45000","2.20417","20321.08008"
"26.50000","2.20829","20351.14844"
"26.55000","2.21251","20378.15430"
"26.60000","2.21672","20405.87109"
"26.65000","2.22085","20435.54883"
"26.70000","2.22506","20465.17773"
"26.75000","2.22928","20493.74023"
"26.80000","2.23340","20523.01172"
"26.85000","2.23753","20552.82812"
"26.90000","2.24174","20581.40820"
"26.95000","2.24587","20610.63867"
"27.00000","2.24999","20641.95703"
"27.05000","2.25421","20670.39648"
"27.10000","2.25842","20698.55859"
"27.15000","2.26255","20730.03906"
"27.20000","2.26667","20761.03320"
"27.25000","2.27088","20790.51172"
"27.30000","2.27501","20821.11719"
"27.35000","2.27913","20853.37500"
"27.40000","2.28335","20883.17188"
"27.45000","2.28756","20913.84766"
"27.50000","2.29169","20945.24805"
"27.55000","2.29581","20974.84375"
"27.60000","2.30003","21005.06641"
"27.65000","2.30424","21036.87695"
"27.70000","2.30837","21069.11328"
"27.75000","2.31258","21099.50000"
"27.80000","2.31671","21130.02148"
"27.85000","2.32083","21162.65234"
"27.90000","2.32505","21192.88086"
"27.95000","2.32917","21223.79688"
"28.00000","2.33339","21256.48047"
"28.05000","2.33751","21287.68750"
"28.10000","2.34173","21317.62500"
"28.15000","2.34594","21347.63672"
"28.20000","2.35007","21381.02148"
"28.25000","2.35419","21410.66992"
"28.30000","2.35841","21442.01953"
"28.35000","2.36253","21474.39062"
"28.40000","2.36665","21506.72656"
"28.45000","2.37087","21537.31836"
"28.50000","2.37499","21569.44531"
"28.55000","2.37912","21601.98242"
"28.60000","2.38333","21632.86133"
"28.65000","2.38755","21663.53906"
"28.70000","2.39167","21696.06250"
"28.75000","2.39580","21728.45117"
"28.80000","2.40001","21759.93164"
"28.85000","2.40423","21791.82227"
"28.90000","2.40835","21823.64453"
"28.95000","2.41257","21855.85742"
"29.00000","2.41669","21888.92773"
"29.05000","2.42082","21920.54102"
"29.10000","2.42503","21952.12305"
"29.15000","2.42925","21982.91211"
"29.20000","2.43337","22015.22656"
"29.25000","2.43759","22046.24023"
"29.30000","2.44171","22077.34961"
"29.35000","2.44584","22108.77930"
"29.40000","2.44996","22140.58398"
"29.45000","2.45418","22171.72461"
"29.50000","2.45839","22204.00781"
"29.55000","2.46252","22236.71289"
"29.60000","2.46673","22268.20117"
"29.65000","2.47095","22299.13672"
"29.70000","2.47507","22331.40234"
"29.75000","2.47919","22363.69922"
"29.80000","2.48351","22394.10742"
"29.85000","2.48763","22425.16797"
"29.90000","2.49175","22458.37891"
"29.95000","2.49597","22488.60156"
"30.00000","2.50009","22519.98828"
"30.05000","2.50421","22551.96094"
"30.10000","2.50843","22580.93750"
"30.15000","2.51265","22611.51758"
"30.20000","2.51677","22643.06055"
"30.25000","2.52099","22674.84375"
"30.30000","2.52511","22704.55078"
"30.35000","2.52923","22734.24023"
"30.40000","2.53336","22766.63086"
"30.45000","2.53757","22795.85156"
"30.50000","2.54170","22826.60156"
"30.55000","2.54582","22857.71875"
"30.60000","2.55004","22888.01562"
"30.65000","2.55425","22918.07227"
"30.70000","2.55838","22948.95898"
"30.75000","2.56250","22979.16406"
"30.80000","2.56672","23008.55469"
"30.85000","2.57084","23038.29492"
"30.90000","2.57506","23068.29297"
"30.95000","2.57927","23098.16406"
"31.00000","2.58340","23128.39648"
"31.05000","2.58761","23157.62695"
"31.10000","2.59174","23187.46680"
"31.15000","2.59595","23216.33398"
"31.20000","2.60008","23245.20703"
"31.25000","2.60420","23274.41992"
"31.30000","2.60842","23302.83594"
"31.35000","2.61254","23331.70312"
"31.40000","2.61666","23360.41602"
"31.45000","2.62088","23388.95898"
"31.50000","2.62500","23417.81445"
"31.55000","2.62913","23446.23438"
"31.60000","2.63334","23475.49805"
"31.65000","2.63756","23504.20898"
"31.70000","2.64168","23532.15234"
"31.75000","2.64581","23558.97852"
"31.80000","2.65002","23586.64258"
"31.85000","2.65424","23614.50391"
"31.90000","2.65836","23641.68555"
"31.95000","2.66248","23669.67969"
"32.00000","2.66670","23698.14258"
"32.05000","2.67082","23724.80859"
"32.10000","2.67504","23753.93750"
"32.15000","2.67926","23779.40625"
"32.20000","2.68338","23805.29883"
"32.25000","2.68750","23832.26172"
"32.30000","2.69172","23858.34961"
"32.35000","2.69584","23885.27734"
"32.40000","2.69997","23911.62891"
"32.45000","2.70409","23937.74609"
"32.50000","2.70831","23964.27930"
"32.55000","2.71243","23991.42773"
"32.60000","2.71665","24017.63867"
"32.65000","2.72086","24045.42969"
"32.70000","2.72508","24071.74219"
"32.75000","2.72930","24097.45117"
"32.80000","2.73342","24122.02344"
"32.85000","2.73764","24147.44141"
"32.90000","2.74185","24172.16992"
"32.95000","2.74598","24198.08594"
"33.00000","2.75019","24223.07227"
"33.05000","2.75432","24247.39062"
"33.10000","2.75844","24273.70312"
"33.15000","2.76275","24298.44727"
"33.20000","2.76687","24322.93164"
"33.25000","2.77100","24346.75000"
"33.30000","2.77512","24371.25977"
"33.35000","2.77924","24394.23828"
"33.40000","2.78337","24419.04492"
"33.45000","2.78749","24443.49609"
"33.50000","2.79171","24467.77930"
"33.55000","2.79583","24491.56055"
"33.60000","2.79986","24516.54492"
"33.65000","2.80417","24541.84570"
"33.70000","2.80829","24566.34570"
"33.75000","2.81251","24590.01758"
"33.80000","2.81663","24613.62695"
"33.85000","2.82085","24636.28906"
"33.90000","2.82497","24658.88867"
"33.95000","2.82919","24683.39258"
"34.00000","2.83341","24708.08594"
"34.05000","2.83762","24730.73047"
"34.10000","2.84165","24753.30273"
"34.15000","2.84596","24777.68359"
"34.20000","2.85009","24801.25195"
"34.25000","2.85421","24823.93555"
"34.30000","2.85843","24846.88086"
"34.35000","2.86255","24868.85742"
"34.40000","2.86677","24890.79883"
"34.45000","2.87089","24913.65430"
"34.50000","2.87511","24935.97656"
"34.55000","2.87923","24957.91992"
"34.60000","2.88326","24979.73242"
"34.65000","2.88757","25002.74219"
"34.70000","2.89169","25024.64062"
"34.75000","2.89591","25045.80859"
"34.80000","2.90003","25068.23828"
"34.85000","2.90425","25089.39453"
"34.90000","2.90837","25109.67578"
"34.95000","2.91259","25132.12500"
"35.00000","2.91671","25153.87891"
"35.05000","2.92093","25174.78711"
"35.10000","2.92505","25196.37891"
"35.15000","2.92927","25218.03320"
"35.20000","2.93348","25239.38086"
"35.25000","2.93751","25261.24023"
"35.30000","2.94173","25282.08398"
"35.35000","2.94595","25301.93359"
"35.40000","2.95007","25322.87891"
"35.45000","2.95419","25344.13281"
"35.50000","2.95832","25364.83398"
"35.55000","2.96253","25385.61914"
"35.60000","2.96666","25406.44922"
"35.65000","2.97078","25427.48242"
"35.70000","2.97500","25447.77344"
"35.75000","2.97912","25468.32617"
"35.80000","2.98334","25489.41602"
"35.85000","2.98755","25509.02930"
"35.90000","2.99168","25528.79492"
"35.95000","2.99589","25549.23047"
"36.00000","3.00002","25570.35352"
"36.05000","3.00423","25589.77930"
"36.10000","3.00836","25608.34570"
"36.15000","3.01257","25629.10938"
"36.20000","3.01679","25649.21289"
"36.25000","3.02091","25669.25586"
"36.30000","3.02504","25688.09180"
"36.35000","3.02925","25708.02930"
"36.40000","3.03338","25726.47070"
"36.45000","3.03759","25745.21680"
"36.50000","3.04172","25764.36914"
"36.55000","3.04593","25783.72070"
"36.60000","3.05006","25802.35352"
"36.65000","3.05418","25821.43164"
"36.70000","3.05840","25840.83984"
"36.75000","3.06261","25857.55664"
"36.80000","3.06674","25877.03125"
"36.85000","3.07086","25895.85742"
"36.90000","3.07508","25913.58398"
"36.95000","3.07920","25931.47461"
"37.00000","3.08341","25950.59961"
"37.05000","3.08754","25968.23633"
"37.10000","3.09175","25986.81445"
"37.15000","3.09588","26005.94141"
"37.20000","3.10009","26023.38281"
"37.25000","3.10422","26041.30859"
"37.30000","3.10834","26058.65039"
"37.35000","3.11256","26077.87891"
"37.40000","3.11677","26095.26562"
"37.45000","3.12090","26112.66406"
"37.50000","3.12502","26131.17188"
"37.55000","3.12924","26148.44727"
"37.60000","3.13336","26165.84570"
"37.65000","3.13748","26183.59961"
"37.70000","3.14170","26201.22461"
"37.75000","3.14582","26217.54688"
"37.80000","3.15004","26234.65039"
